patent_id,company_id
7105232,09b3d878-1643-49f5-afa5-8e1d0aced8cc
6774726,e1486dcb-d5bb-48b4-a332-32062ba8e9fe
8337083,a5e4f5aa-e014-4c3c-b878-4d58405c0d5e
11874363,8d29c721-e388-443e-a493-caf6f044b071
12164199,7e54a669-49a0-4138-9ee5-d8d0b44eac80
5916761,1cad3022-29d3-4c30-b58a-111ac21f2763
7734557,e2fe1f61-724a-41b8-80b8-540b7fd31cb6
11826898,55bc7465-2823-418d-9835-41d555c610a6
11973005,88c962da-6df3-4f86-85ba-14c24c3cb600
9317899,55bc7465-2823-418d-9835-41d555c610a6
8465826,88d9de36-0fde-4797-b7f1-72ca4f7f339b
D760198,533e0469-baac-46b7-9576-669db08092eb
D268182,edf6ad6b-902d-4380-8631-26f088c6d61f
7192698,4e61fd34-7bff-47a0-a2e1-edb2b7b4826b
11182593,92f6eb86-cf74-44bb-a2bf-33d99bfd22e9
7034052,a2eaba1f-807b-4a27-91ca-adb6bc4e15fe
9366519,f579c834-0905-4a46-8a5b-d59c5b670840
8266736,30866fde-5087-42ce-b827-360c0b56d863
9672328,5bf27968-3f90-42bd-b5bb-e7021b05653b
9100856,6674b19e-00dc-4dad-8048-ebfc1273f51c
5200790,8f37dbbd-32ab-43c6-abee-378784a2054a
9692147,55715b8e-9037-47c9-8e27-a2acf13d6047
4321310,46150e0c-8edb-4d25-8256-5f90d9acc689
6005656,d8d4a77d-5b7e-4dd2-ab29-c4e381f0eb4d
12138040,4249e588-7a1f-4eef-8092-8abf4abc953a
8770391,ac19a752-f838-4d2f-a4b5-c55981288253
12172312,877b4262-7552-45e3-adc3-c484b3095cf3
5230380,400dee00-7491-4914-a73a-7c048e47b014
11658551,7d6e07ed-437a-46bb-9fe5-b6fb0131f3e8
D316263,55bc7465-2823-418d-9835-41d555c610a6
7315936,363adefd-c63f-4bd4-ab1a-d3210bf05e3b
9325323,4ab59cbc-092d-4421-9af1-0ff68c25c5cc
9418697,b4880808-baf7-4038-9bfb-cc029bb676f6
9368803,533e0469-baac-46b7-9576-669db08092eb
6131642,e84310dc-1429-4b86-bf0a-00ff7a215f56
9301364,8390e810-1c18-4ef5-8621-095fcb2a31a5
7398691,a4125ee5-aafd-429f-b987-d768c41d7b62
4170104,a137f818-eef2-4315-8991-648deb8b24d0
D252969,df793afc-c162-4892-b5ce-5cf024dff037
8902131,85f958bf-effb-48ff-b21a-64daf060259f
8537737,9ccb3580-5c20-45fe-ba60-526da934a903
8050165,93f8c962-7a18-45c0-b192-7a141f9a8b6c
12413254,533e0469-baac-46b7-9576-669db08092eb
9965693,0c1a338f-adbb-4340-b93d-9d1fd1a8f893
8204528,6e1fe222-aff2-408a-830f-b029032fe73f
12237663,4a7994d9-2085-46df-a264-f657e17bc7d5
8600163,4ef2b9c8-d3e7-40d6-ac53-8694d8fe890f
12035868,8992db46-bb5f-43b4-822e-33547222055f
9612236,118565fb-5037-4fb5-b31c-a1c6e7674c02
D976697,714569f4-0d49-4d52-8311-9dcab29f8798
11474456,c51ff068-81a3-4b0b-af09-bf460942ea37
10767043,ea2eecfd-5d8b-45d1-8ffc-3179174a80ad
7774545,53482ffb-3623-46a2-aac3-78d3be33d4e0
D1025784,bba602fb-2884-4071-8de5-521ab5787f22
10460789,c4b2c7c1-f621-4f10-855a-64da76a66b53
6973205,1918bc79-3bf3-4be6-8ea5-c5438e714ae2
10963749,17a612ae-79d5-4231-9630-bbb2f52a7b4e
D888946,b928e170-61f5-4095-afa6-94e386615fee
10122717,3ab6b3c2-dcd4-4b16-bdb2-238bae2257cd
D1092837,5ceb32df-e329-4b7e-bd57-8dffbaaa6b32
9990810,63e062fa-4512-4f91-b3e5-da53beae532f
6245273,1375ccb4-bb29-432c-b832-4d0044acc7b9
12509902,7fce98b1-40a5-4ada-8d8f-8284fd07ce7c
9124847,eb5590a0-fadd-40e0-9f98-b44ca89827d1
9457403,6f6d0f73-9783-4f3e-9929-cb8664e76b37
8224920,dbc51a5d-5837-40ff-a52f-86c6f9a8f48c
9512014,6abe408c-7af8-460e-9fa7-47d745c2484d
5123694,b85b46a0-a436-4116-ab73-a392fe9039a9
4467958,f87ad30d-fa94-4d38-bf93-766234efd63f
11552703,347d632e-b0eb-49e6-b853-516334b5bd8b
7513949,55754f7e-e260-42ac-a700-1d2cc456c43e
8441390,714cecab-7b9b-4f52-bd0a-8b98b5b28b0f
6619958,c84c8c54-c199-4dbe-a072-8f93a9dc83a6
7752368,533e0469-baac-46b7-9576-669db08092eb
8026837,10806bd3-93fd-4c0c-b298-a67ca2c1698a
7685880,5705286c-4bb2-411d-896f-6d9a35116fb2
7577994,a74c68d0-8fa4-4856-98eb-b266e32cc73d
8422850,cc5a3682-2ebd-46e0-94d5-2d08d8039c32
7760760,a2f7133e-1893-4c41-85e6-a9e302830494
9223550,048b2efe-1ff2-4857-9bbc-18422f0f1910
4836507,99a82a2a-c494-4f14-bec0-2bcb33b5c533
9770151,3f4f41a6-5319-4dc4-a2e3-8f05e6f30efd
10849051,55bc7465-2823-418d-9835-41d555c610a6
9224153,2e3867fa-29ae-4bbb-a2db-2424b3b465f4
8125939,5952964e-63c6-4284-9012-0fdd0643f715
11760515,d94fbab3-0e1f-42de-b692-496efe5809eb
10901513,38cff6e0-fc52-4faf-9fa9-b72912600dee
6067420,70f77b8f-fb49-47a0-8660-3e24907c0557
11639326,0ed7db0d-4cee-441e-aaa2-4452443ac0e4
7041685,4bbaf048-25e6-4d02-b06b-c914c0a9bddc
10950981,8a53ee2b-7e57-4a5f-8cd1-076890a1ed23
7667485,2a055c29-5907-4c2b-9c07-c90415c2ab4b
D803702,3bee08e3-5c85-4400-9830-e3ed860d3857
9044790,162d55e1-9240-4b86-8e75-7b99f18ac404
5592129,45fb520b-1ab7-4097-81ee-d9d736c0ab3c
D898358,7d9c7fce-060f-412d-8c1a-845f72922451
5421863,2b5eca27-9e55-4fe6-9f01-f34764e10a3e
7971120,29b8f534-149e-443c-b76b-3c4a222da89c
8968480,436a2707-7dcd-46a2-91b2-a7d8ae87eb2c
5833585,d749237a-a27c-445d-9440-f0c903f9d4bf
8718542,56b45e76-da54-4fbd-ab47-019bc526601c
7408498,4ef2b9c8-d3e7-40d6-ac53-8694d8fe890f
5874746,4d7e4da1-301f-4693-b8b1-02b47f88a2a7
8996926,1918bc79-3bf3-4be6-8ea5-c5438e714ae2
9160769,55715b8e-9037-47c9-8e27-a2acf13d6047
7235580,4c6206be-9155-4ce0-b490-0cba1b4e6f2b
5598218,abd9f3a8-f76f-4146-86f1-58b726d1b137
10663858,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67
8641533,8aaad8be-a478-47d7-87db-7c2d8cd019f5
7318143,c0dd0b4d-fbbe-4965-b458-304bb690d1e8
D911669,2e94bde8-de4d-4613-9312-cb68f83a53a2
8060367,605dda6d-df69-4edd-96e0-b05694e3e751
7022565,1b01f76f-cce8-4887-a20a-e6bcc3017b4a
10872147,5952964e-63c6-4284-9012-0fdd0643f715
9106319,a7b79334-35a4-48e8-8143-47f2bfd65432
9948875,38d1c51b-6fed-4b59-a47e-76864abbcfbf
6852297,dde407f2-372c-4780-a32f-8b9ae09f1e7a
12286124,f94290bc-7c0d-49af-9797-828af77eb9c7
10911030,41dc471d-a24d-4faf-83c0-db9a8f1b9883
D988202,16d46b44-1493-4418-82ba-b931fbfdb725
8720807,e22815b1-3e6f-44a1-8813-576ab00d753d
6850288,77b0e539-7552-487c-8171-df9127f7fa66
11748160,f20e7603-11c7-4d50-8694-c913e8cc6ef6
5205625,bced5999-e06a-4782-80a7-d9c799657ace
10453094,533e0469-baac-46b7-9576-669db08092eb
5201996,b1f192a1-1923-4f12-9ad5-d84a83450eff
7343455,29b8f534-149e-443c-b76b-3c4a222da89c
3954070,6bd348f5-9d58-457d-8f57-74238a6fe137
D255471,7fee54ae-c2eb-47c2-b2c4-523ba3df97f7
4452527,c1f5d166-99bc-4135-9c11-1244667f49e6
4939897,ece0a29c-e08c-4740-97d6-eb83eafcaecf
9254066,6a42f55f-353b-4bd6-9fbb-a242cf61d06b
6970192,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67
7976541,d6f2fdd3-5020-44aa-8aa1-ec9819af2e4a
5083038,cb5367eb-ebac-459a-b013-d92860572522
8864822,a7f35af8-ce3a-4643-858e-74f47dda816d
8980193,77ef366a-ac1a-45d0-a8f1-86e0baf2ffe0
7054031,e6a0faca-e2af-48dd-a2d1-49b14640ea11
10678232,6cccfcb4-1761-4afb-bd37-def24a3d1228
12271326,6290b9aa-cb1f-411d-abf4-fabd3335cfea
11712652,9329f7ca-0c28-4922-9b88-5dec04a946ce
6906440,c6507cf2-1b05-4fa4-bef7-45cb5db22092
10890980,87bbd77e-54e0-4d95-9c1b-7843963c09eb
10986462,533e0469-baac-46b7-9576-669db08092eb
D859721,0380838b-260d-439c-845a-dd35f588128e
9646028,4a3eec42-78bf-4057-8a68-4da387b86ee6
9678442,75c15bec-c9c6-491f-b9bb-3b7c72cad0c6
D833731,ce1f1c1d-4b3f-4b72-9880-dee092bbe83e
5823311,412ac742-e5e4-4958-9df0-a0e1459c8e84
9471803,4a1b568f-8bc7-4b25-b8a6-1c62223b8089
9399551,f2f60deb-72d1-4ecf-b9f6-eea02a72b241
8655304,b582461f-ae95-488d-a58e-645205f9a1ca
9275022,048b2efe-1ff2-4857-9bbc-18422f0f1910
4745739,6c6bf898-57a5-44ae-85aa-67859afa0c5b
11267411,7fd570bb-8d88-4ad9-832b-532add7b7500
D942802,f3bfa34a-1f5f-412e-823e-e8f219078abf
10340749,906da649-dd98-4eac-a78c-d5dc3cc385b1
7046356,c6752ab3-5a54-4f7e-8fe3-668a38435fa5
9564347,5d4f358a-1d7b-49f2-b132-6bb9c2cfd725
8379932,b0adcf61-dfae-4f46-8b25-d8dd472d6101
8019797,29b8f534-149e-443c-b76b-3c4a222da89c
8952939,ffb5445b-bbd3-4dfe-9fac-55b8e21fc06f
5161330,4aac7dbd-ec2c-4c26-8962-948deb47e4a0
4954335,262fb80b-73c9-46a4-9326-4dc98a7db8e5
4743937,4840cedc-7dcd-4aa9-9d62-ee877f7ef128
8817842,92b1eaa2-c084-49d7-8050-12872ca65201
6404758,b1fe5de1-2ec4-4354-a4a4-99b9a8e34751
5419446,00a5a804-bac0-4c0d-b2e2-2d47a7a6a32d
8956772,55bc7465-2823-418d-9835-41d555c610a6
7730639,ce1f1c1d-4b3f-4b72-9880-dee092bbe83e
7904913,9d109225-6c30-4fd5-a13a-ff496d1a3d96
D605487,1c631b96-8301-4819-bd8c-2e69e2ef6c76
D363907,a300332d-b839-4221-94d5-fa9896d2fcbd
8858599,fed49674-8d61-40ac-a2d7-f69a501e807b
8538240,906da649-dd98-4eac-a78c-d5dc3cc385b1
6365551,76bfedeb-c249-4c5a-9fb1-87c5a5ae43a0
4246403,461735da-1e01-4148-8ee3-7e610c5dca9b
6712243,8a047604-a13c-466b-b969-9fb9834acc98
10040838,0c160b17-3bc0-4935-9b42-d7efae1f7a94
9722858,29b8f534-149e-443c-b76b-3c4a222da89c
5378499,ce4871a1-d79b-4334-ae5d-f399a8b81d3d
8693442,f77f5297-06be-4d3b-ae57-53fc28ee208a
10656773,1190dd66-1ba3-468d-ae3f-649a32c04a43
11056884,b904f566-62d6-44a5-8689-7b5c5a3a1a19
8663632,8fac3c81-1f5f-4fa1-9e4a-2087fd535da7
8608212,e1184f58-2abf-4514-bc41-abe687741480
8992374,7fd570bb-8d88-4ad9-832b-532add7b7500
12116972,33bd3a05-9c4e-4141-87ed-504b31cab19a
8856487,e26f6502-4416-481e-b15a-e69178b15dfc
7552162,0bc189af-3eb0-4f95-9c77-b230b103c2cb
8973527,5d4f358a-1d7b-49f2-b132-6bb9c2cfd725
9621546,11364150-2c8d-4ded-b132-352cb6f34c96
4659389,8755da69-4b4a-4c37-a6d4-e56b63f3f0f1
10689784,38d68b97-cdd8-4d2e-bb3f-d321efdab031
9863653,f1ef1a94-df78-49d5-b295-5105fba2e6aa
9955287,9971439c-aa8f-4cf2-b787-3b80dc992cfa
9236904,7f7f1d2f-d858-4e97-8723-87f06ac28989
D548858,c9b5264d-3858-46d6-9744-bc6dcf19975f
10186346,aff59855-e1cd-4810-b136-18c3a1a847bd
9375175,4c84804d-ecae-4f0c-8312-2a4c36ae9e8a
9023140,877b4262-7552-45e3-adc3-c484b3095cf3
D677509,3f39836e-f7fb-454b-ac8c-427c8b0bbc60
11773288,bbdb6d7a-0cc0-4416-85ca-fef041a8e40b
4898591,7e3981a0-71f5-40b3-a89e-8bed114c9e8f
9893413,cb2dd6f0-ab99-4116-969c-b850077be653
9538289,e9f1095e-8a73-4327-8127-3ad76e668a5e
9477674,164fb31e-ea0f-4571-b1d7-bde640ac5a7c
D824071,457f19f3-e4b1-4425-a91d-30bf3eee5778
D611245,db898b59-1336-417d-bea2-6de492aa17ab
4105223,cb5367eb-ebac-459a-b013-d92860572522
6920450,29b8f534-149e-443c-b76b-3c4a222da89c
4963161,62f0f164-cb69-48c2-9573-66ecd41c13cd
5887349,ed53e868-a422-4db8-a656-edf0e0e916da
6720475,df177dc9-2bab-4962-a377-7bc58538742c
10838116,f2d5ebcc-b2bf-456d-a911-1ddf522cb640
8507419,d6f138ea-5fbc-4de0-b58f-9080a787105f
6487245,a8b322ab-6440-4b4f-b6fa-09b7bb4479bb
6775931,69bdf64e-2780-4a64-8b30-c347d0aa9ae6
11525168,5cd3a7b6-3f4a-4656-84be-4a0ee59c6a03
5305697,e41f2b4b-966c-465e-9abf-8591dd8935ee
10290395,f9eab477-0d90-49e2-9673-cec04661d3ca
8859613,035694fd-4cb3-412d-b147-7a9b51c11e13
11301897,55715b8e-9037-47c9-8e27-a2acf13d6047
11817266,328434ce-a701-4c29-8aef-e9a7d3722319
7279470,d8828bf1-d252-48eb-a3c6-407584bac108
5390000,27d970a0-bc30-4d36-890a-06df5a91ba6a
7238952,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67
9209157,88c962da-6df3-4f86-85ba-14c24c3cb600
11099110,f537577c-d91e-43b9-ad2b-a01cd70dbf6f
7900738,524a078f-e500-4085-ab09-6d82ec85b864
4411843,3f34558d-e9d3-4b77-9e87-c1f2757e95c3
7859071,30b10ed8-5187-47a8-a12c-58822a0fddf6
7765186,aadbb4de-c12b-4478-9e37-7f2e27653908
8609365,b7b2eabd-0875-449f-b04c-82b6b5bf6d81
10702148,bf503343-3caf-4b8b-b2dd-8c41dad19f17
